programme_slug,version_name,course_code,course_title,study_year,semester,requirement_type,contact_hours,credit_units,display_order,source_block,source_note
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BCE1121,Engineering Mathematics I,1,1,elective,60,4,1,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,EEE1101,Electricity and Magnetism,1,1,elective,45,3,2,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BCE1103,Information Communication Technology,1,1,elective,45,3,3,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,COM1101,Communication Skills,1,1,elective,45,3,4,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,EEE1105,Physical Electronics,1,1,elective,45,3,5,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BME1104,Engineering Physics,1,1,elective,45,3,6,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,DVS1106,Introduction to Political Economy,1,1,elective,45,3,7,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BCE1211,Engineering Mathematics II,1,2,elective,60,4,1,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BCE1221,Fundamentals of Computer Programming-C,1,2,elective,60,4,2,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BME1203,Biochemistry & Microbiology,1,2,elective,45,3,3,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BME1205,Engineering Mechanics,1,2,elective,60,4,4,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BME1210,Thermodynamics,1,2,elective,60,4,5,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BME1202,Engineering Drawing,1,2,elective,60,4,6,485,
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,DVS1203,Political Economy of Africa & Development,1,2,elective,45,3,7,485,Conflicting handbook definitions: Political Economy of Africa & Development (3 CU) | Political Economy of Africa and Development (3 CU)
bachelor-of-biomedical-engineering,Undergraduate Handbook 2025/2026,BCE2111,Engineering Mathematics III,2,1,elective,60,4,1,488,
